"","Industry","Year","Tariff"
"1","Agricultural Raw Materials","1989",21.8358610134499
"2","Animal","1989",25.8805652696681
"3","Capital goods","1989",13.9982587096806
"4","Consumer goods","1989",35.5595768764282
"5","Food Products","1989",28.6108249188993
"6","Fuels","1989",5.03166118421053
"7","Mach and Elec","1989",14.3379974858499
"8","Manufactures","1989",21.6059309136326
"9","Metals","1989",14.4586018003395
"10","Minerals","1989",4.2421875
"11","Miscellaneous","1989",26.7782583173623
"12","Transportation","1989",34.9352177883351
"13","Vegetable","1989",14.2045537324424
"14","Agricultural Raw Materials","1990",19.9055511733341
"15","Animal","1990",25.5539021764483
"16","Capital goods","1990",14.227576621587
"17","Consumer goods","1990",80.6020309811478
"18","Food Products","1990",22.5012713688243
"19","Fuels","1990",4.96164022816552
"20","Mach and Elec","1990",13.0992268066313
"21","Manufactures","1990",48.7486065445587
"22","Metals","1990",11.4187699530126
"23","Minerals","1990",5.59375
"24","Miscellaneous","1990",21.4774673669112
"25","Transportation","1990",42.7019924588097
"26","Vegetable","1990",14.6691642565373
"27","Agricultural Raw Materials","1991",16.9906026938374
"28","Animal","1991",23.748651192367
"29","Capital goods","1991",14.6242389477555
"30","Consumer goods","1991",63.2403210436275
"31","Food Products","1991",23.0580788018568
"32","Fuels","1991",4.92747239757467
"33","Mach and Elec","1991",13.8354676096986
"34","Manufactures","1991",38.888102530409
"35","Metals","1991",12.8078633432056
"36","Minerals","1991",5.64611273249485
"37","Miscellaneous","1991",23.1481048357319
"38","Transportation","1991",41.2127267811258
"39","Vegetable","1991",14.9946791302959
"40","Agricultural Raw Materials","1992",14.0756542143407
"41","Animal","1992",21.9434002082858
"42","Capital goods","1992",15.020901273924
"43","Consumer goods","1992",45.8786111061072
"44","Food Products","1992",23.6148862348894
"45","Fuels","1992",4.89330456698382
"46","Mach and Elec","1992",14.5717084127658
"47","Manufactures","1992",29.0275985162593
"48","Metals","1992",14.1969567333986
"49","Minerals","1992",5.69847546498969
"50","Miscellaneous","1992",24.8187423045526
"51","Transportation","1992",39.7234611034418
"52","Vegetable","1992",15.3201940040546
"53","Agricultural Raw Materials","1993",11.160705734844
"54","Animal","1993",20.1381492242046
"55","Capital goods","1993",15.4175636000925
"56","Consumer goods","1993",28.5169011685869
"57","Food Products","1993",24.1716936679219
"58","Fuels","1993",4.85913673639297
"59","Mach and Elec","1993",15.3079492158331
"60","Manufactures","1993",19.1670945021096
"61","Metals","1993",15.5860501235915
"62","Minerals","1993",5.75083819748454
"63","Miscellaneous","1993",26.4893797733733
"64","Transportation","1993",38.2341954257579
"65","Vegetable","1993",15.6457088778133
"66","Agricultural Raw Materials","1994",9.45592001375229
"67","Animal","1994",18.8115086957372
"68","Capital goods","1994",12.9830852125571
"69","Consumer goods","1994",25.0748123089461
"70","Food Products","1994",20.585814979658
"71","Fuels","1994",4.67430541643075
"72","Mach and Elec","1994",12.4303043848132
"73","Manufactures","1994",16.9537384216101
"74","Metals","1994",15.1106752522642
"75","Minerals","1994",4.94225414235773
"76","Miscellaneous","1994",23.7916089464212
"77","Transportation","1994",34.8040303437451
"78","Vegetable","1994",12.3635284216944
"79","Agricultural Raw Materials","1995",7.75113429266063
"80","Animal","1995",17.4848681672698
"81","Capital goods","1995",10.5486068250218
"82","Consumer goods","1995",21.6327234493053
"83","Food Products","1995",16.9999362913941
"84","Fuels","1995",4.48947409646852
"85","Mach and Elec","1995",9.55265955379329
"86","Manufactures","1995",14.7403823411105
"87","Metals","1995",14.6353003809369
"88","Minerals","1995",4.13367008723092
"89","Miscellaneous","1995",21.0938381194691
"90","Transportation","1995",31.3738652617324
"91","Vegetable","1995",9.08134796557561
"92","Agricultural Raw Materials","1996",9.98031980434977
"93","Animal","1996",14.1099859302172
"94","Capital goods","1996",4.7201548547859
"95","Consumer goods","1996",15.987529414393
"96","Food Products","1996",15.4264240597672
"97","Fuels","1996",4.03625732137446
"98","Mach and Elec","1996",4.94264575292449
"99","Manufactures","1996",9.95295686821941
"100","Metals","1996",10.8581040671618
"101","Minerals","1996",5.01426426426426
"102","Miscellaneous","1996",15.2923811594645
"103","Transportation","1996",19.9869410329581
"104","Vegetable","1996",9.170942039764
"105","Agricultural Raw Materials","1997",15.183338610444
"106","Animal","1997",22.0456531927896
"107","Capital goods","1997",20.2056794902003
"108","Consumer goods","1997",33.6125887454346
"109","Food Products","1997",32.208895397002
"110","Fuels","1997",4.77436868686869
"111","Mach and Elec","1997",20.0415952922344
"112","Manufactures","1997",25.1606951617512
"113","Metals","1997",16.6831332166234
